name,brand,No.Sim,price
redmi note 8 pro m1906g7g 64gb,xiaomi,1,5699000
galaxy a30s sm-a307fn/ds 64gb,samsung,1,5550000
galaxy a32 5g sm-a326b/ds 128gb and 8gb ram,samsung,1,7389000
galaxy a11 sm-a115f/ds 32gb and 3gb ram,samsung,1,3649000
galaxy a52 sm-a525f/ds 128gb and 6gb ram,samsung,1,10199000
redmi note 9t 5g m2007j22g 128gb and 4gb ram,xiaomi,1,5025000
samsung galaxy z fold2 5g sm-f916b 256gb and 12gb ram,samsung,1,47990000
9 nfc m2004j19ag 64gb and 4gb ram,redmi,1,4380000
mi 10 5g m2001j2g 256gb,xiaomi,1,18399000
mi 10t lite 5g m2007j17g 64gb and 6gb ram,xiaomi,1,6140000
galaxy m11 sm-m115f/ds 32gb,samsung,1,3475000
redmi note 9s m2003j6a1g 128gb,xiaomi,1,6634000
galaxy note 10 plus n975f/ds 256gb,samsung,1,23500000
galaxy a52 5g sm-a526b/ds 128gb and 8gb ram,samsung,1,15086000
mi 10t pro 5g m 2007j3sg 256gb,xiaomi,1,16572000
galaxy a52 sm-a525f/ds 256gb and 8gb ram,samsung,1,11875000
galaxy s21 plus 5g sm-g996b/ds 256gb and 8gb ram,samsung,1,24699000
